chapter	index	quest_title	item_id	filename	source	source_texture	out_w	out_h
adventurers_primer	00	Chapter - &eAdventurer's Primer	naturescompass:naturescompass	by_chapter/adventurers_primer/00_chapter_-_adventurers_primer__naturescompass__naturescompass.png	NaturesCompass-1.21.1-3.4.0-neoforge.jar	assets/naturescompass/textures/item/naturescompass_16.png	512	512
adventurers_primer	03	Cartographer's Compact	naturescompass:naturescompass	by_chapter/adventurers_primer/03_cartographers_compact__naturescompass__naturescompass.png	NaturesCompass-1.21.1-3.4.0-neoforge.jar	assets/naturescompass/textures/item/naturescompass_16.png	512	512
adventurers_primer	04	Cryptographer's Needle	explorerscompass:explorerscompass	by_chapter/adventurers_primer/04_cryptographers_needle__explorerscompass__explorerscompass.png	ExplorersCompass-1.21.1-3.4.0-neoforge.jar	assets/explorerscompass/textures/item/explorerscompass_16.png	512	512
adventurers_primer	05	Stones of Return	waystones:waystone	by_chapter/adventurers_primer/05_stones_of_return__waystones__waystone.png	1.21.1.jar	assets/minecraft/textures/block/polished_andesite.png	512	512
adventurers_primer	08	First Tribute	minecraft:bread	by_chapter/adventurers_primer/08_first_tribute__minecraft__bread.png	1.21.1.jar	assets/minecraft/textures/item/bread.png	512	512
apotheosis_ascension	00	Chapter - &eApotheosis Ascension	apotheosis:gem	by_chapter/apotheosis_ascension/00_chapter_-_apotheosis_ascension__apotheosis__gem.png	Apotheosis-1.21.1-8.5.4.jar	assets/apotheosis/textures/items/gems/default.png	512	512
apotheosis_ascension	01	Affix Awakening	apotheosis:gem	by_chapter/apotheosis_ascension/01_affix_awakening__apotheosis__gem.png	Apotheosis-1.21.1-8.5.4.jar	assets/apotheosis/textures/items/gems/default.png	512	512
apotheosis_ascension	02	Gemcutter's Bench	apotheosis:gem_cutting_table	by_chapter/apotheosis_ascension/02_gemcutters_bench__apotheosis__gem_cutting_table.png	1.21.1.jar	assets/minecraft/textures/block/spruce_planks.png	512	512
apotheosis_ascension	03	Sigil of Socketing	apotheosis:sigil_of_socketing	by_chapter/apotheosis_ascension/03_sigil_of_socketing__apotheosis__sigil_of_socketing.png	Apotheosis-1.21.1-8.5.4.jar	assets/apotheosis/textures/items/sigils/socketing.png	512	512
apotheosis_ascension	04	Simple Reforge	apotheosis:simple_reforging_table	by_chapter/apotheosis_ascension/04_simple_reforge__apotheosis__simple_reforging_table.png	1.21.1.jar	assets/minecraft/textures/block/smooth_stone.png	512	512
apotheosis_ascension	05	True Reforging	apotheosis:reforging_table	by_chapter/apotheosis_ascension/05_true_reforging__apotheosis__reforging_table.png	1.21.1.jar	assets/minecraft/textures/block/nether_bricks.png	512	512
apotheosis_ascension	06	Salvager's Mercy	apotheosis:salvaging_table	by_chapter/apotheosis_ascension/06_salvagers_mercy__apotheosis__salvaging_table.png	Apotheosis-1.21.1-8.5.4.jar	assets/apotheosis/textures/blocks/salvaging_table_front.png	512	512
apotheosis_ascension	07	Sigil Library	apotheosis:sigil_of_enhancement	by_chapter/apotheosis_ascension/07_sigil_library__apotheosis__sigil_of_enhancement.png	Apotheosis-1.21.1-8.5.4.jar	assets/apotheosis/textures/items/sigils/enhancement.png	512	512
aquatic_ambitions	00	Chapter - &e Aquatic Ambitions	minecraft:conduit	by_chapter/aquatic_ambitions/00_chapter_-_aquatic_ambitions__minecraft__conduit.png	1.21.1.jar	assets/minecraft/textures/block/conduit.png	512	512
aquatic_ambitions	01	47B63CD140F2910E	ftbquests:custom_icon	MISSING				
aquatic_ambitions	02	Gather Materials to Craft Conduit	minecraft:heart_of_the_sea	by_chapter/aquatic_ambitions/02_gather_materials_to_craft_conduit__minecraft__heart_of_the_sea.png	1.21.1.jar	assets/minecraft/textures/item/heart_of_the_sea.png	512	512
aquatic_ambitions	03	Gather Materials to Craft Conduit Cage	minecraft:conduit	by_chapter/aquatic_ambitions/03_gather_materials_to_craft_conduit_cage__minecraft__conduit.png	1.21.1.jar	assets/minecraft/textures/block/conduit.png	512	512
aquatic_ambitions	04	Gather Materials 	minecraft:prismarine	by_chapter/aquatic_ambitions/04_gather_materials__minecraft__prismarine.png	1.21.1.jar	assets/minecraft/textures/block/prismarine.png	512	512
aquatic_ambitions	05	Obtain Prismarine Alloy and rod	create_aquatic_ambitions:prismarine_alloy	by_chapter/aquatic_ambitions/05_obtain_prismarine_alloy_and_rod__create_aquatic_ambitions__prismarine_alloy.png	create_aquatic_ambitions-1.21.1-2.0.2.jar	assets/create_aquatic_ambitions/textures/item/prismarine_alloy.png	512	512
aquatic_ambitions	06	Obtain Conduit Cage	create_aquatic_ambitions:mechanical_conduit	by_chapter/aquatic_ambitions/06_obtain_conduit_cage__create_aquatic_ambitions__mechanical_conduit.png	create_aquatic_ambitions-1.21.1-2.0.2.jar	assets/create_aquatic_ambitions/textures/block/mechanical_conduit.png	512	512
aquatic_ambitions	07	Craft Millstone	create:millstone	by_chapter/aquatic_ambitions/07_craft_millstone__create__millstone.png	create-1.21.1-6.0.10.jar	assets/create/textures/block/palettes/stone_types/cap/andesite_cut_cap.png	512	512
aquatic_ambitions	08	Obtain LimeStone	create:limestone	by_chapter/aquatic_ambitions/08_obtain_limestone__create__limestone.png	create-1.21.1-6.0.10.jar	assets/create/textures/block/palettes/stone_types/limestone.png	512	512
aquatic_ambitions	09	Obtain Suspicious Rock	create_aquatic_ambitions:suspicious_rock	by_chapter/aquatic_ambitions/09_obtain_suspicious_rock__create_aquatic_ambitions__suspicious_rock.png	create_aquatic_ambitions-1.21.1-2.0.2.jar	assets/create_aquatic_ambitions/textures/item/suspicious_rock.png	512	512
aquatic_ambitions	10	Activate the Encased Fan with water	create:encased_fan	by_chapter/aquatic_ambitions/10_activate_the_encased_fan_with_water__create__encased_fan.png	create-1.21.1-6.0.10.jar	assets/create/textures/block/fan_side.png	512	512
aquatic_ambitions	11	Activate the Encased Fan with a Conduit Cage	create:encased_fan	by_chapter/aquatic_ambitions/11_activate_the_encased_fan_with_a_conduit_cage__create__encased_fan.png	create-1.21.1-6.0.10.jar	assets/create/textures/block/fan_side.png	512	512
aquatic_ambitions	12	Obtain Nautilus Shell	minecraft:nautilus_shell	by_chapter/aquatic_ambitions/12_obtain_nautilus_shell__minecraft__nautilus_shell.png	1.21.1.jar	assets/minecraft/textures/item/nautilus_shell.png	512	512
aquatic_ambitions	13	Obtain Spiky Shell	create_aquatic_ambitions:spiky_shell	by_chapter/aquatic_ambitions/13_obtain_spiky_shell__create_aquatic_ambitions__spiky_shell.png	create_aquatic_ambitions-1.21.1-2.0.2.jar	assets/create_aquatic_ambitions/textures/item/spiky_shell.png	512	512
aquatic_ambitions	14	Throw a Nautilus Shell into the Crushing Wheel	create:crushing_wheel	by_chapter/aquatic_ambitions/14_throw_a_nautilus_shell_into_the_crushing_wheel__create__crushing_wheel.png	create-1.21.1-6.0.10.jar	assets/create/textures/block/palettes/stone_types/cut/andesite_cut.png	512	512
aquatic_ambitions	15	Obtain Awkward potion	minecraft:potion	by_chapter/aquatic_ambitions/15_obtain_awkward_potion__minecraft__potion.png	1.21.1.jar	assets/minecraft/textures/item/potion_overlay.png	512	512
aquatic_ambitions	16	Set up Mechanical Mixer With blaze burner	create:fluid_tank	by_chapter/aquatic_ambitions/16_set_up_mechanical_mixer_with_blaze_burner__create__fluid_tank.png	create-1.21.1-6.0.10.jar	assets/create/textures/block/fluid_tank.png	512	512
aquatic_ambitions	17	Obtain Any Potions on Mechanical Mixer 	ftbfiltersystem:smart_filter	by_chapter/aquatic_ambitions/17_obtain_any_potions_on_mechanical_mixer__ftbfiltersystem__smart_filter.png	ftb-filter-system-neoforge-21.1.4.jar	assets/ftbfiltersystem/textures/item/smart_filter.png	512	512
aquatic_ambitions	18	5E5D62726D846A63	ftbquests:custom_icon	MISSING				
aquatic_ambitions	19	Craft Trident	minecraft:trident	by_chapter/aquatic_ambitions/19_craft_trident__minecraft__trident.png	1.21.1.jar	assets/minecraft/textures/item/trident.png	512	512
aquatic_ambitions	20	Obtain flint	minecraft:flint	by_chapter/aquatic_ambitions/20_obtain_flint__minecraft__flint.png	1.21.1.jar	assets/minecraft/textures/item/flint.png	512	512
aquatic_ambitions	21	Obtain Prismarine Shards	minecraft:prismarine_shard	by_chapter/aquatic_ambitions/21_obtain_prismarine_shards__minecraft__prismarine_shard.png	1.21.1.jar	assets/minecraft/textures/item/prismarine_shard.png	512	512
aquatic_ambitions	22	Obtain Glow Dust	minecraft:glowstone_dust	by_chapter/aquatic_ambitions/22_obtain_glow_dust__minecraft__glowstone_dust.png	1.21.1.jar	assets/minecraft/textures/item/glowstone_dust.png	512	512
aquatic_ambitions	23	Obtain Prismarine Crystals	minecraft:prismarine_crystals	by_chapter/aquatic_ambitions/23_obtain_prismarine_crystals__minecraft__prismarine_crystals.png	1.21.1.jar	assets/minecraft/textures/item/prismarine_crystals.png	512	512
arms_practice	00	Chapter - &eArms Practice	simplyswords:iron_longsword	by_chapter/arms_practice/00_chapter_-_arms_practice__simplyswords__iron_longsword.png	simplyswords-neoforge-1.63.0-1.21.1.jar	assets/simplyswords/textures/item/iron_longsword.png	512	512
arms_practice	01	Stance \& Steel	simplyswords:iron_longsword	by_chapter/arms_practice/01_stance_steel__simplyswords__iron_longsword.png	simplyswords-neoforge-1.63.0-1.21.1.jar	assets/simplyswords/textures/item/iron_longsword.png	512	512
arms_practice	02	Blooded Edge	minecraft:rotten_flesh	by_chapter/arms_practice/02_blooded_edge__minecraft__rotten_flesh.png	1.21.1.jar	assets/minecraft/textures/item/rotten_flesh.png	512	512
arms_practice	03	Skeleton Syllabus	minecraft:bone	by_chapter/arms_practice/03_skeleton_syllabus__minecraft__bone.png	1.21.1.jar	assets/minecraft/textures/item/bone.png	512	512
arms_practice	04	Forge Your Legend	silentgear:sword_blueprint	by_chapter/arms_practice/04_forge_your_legend__silentgear__sword_blueprint.png	silent-gear-1.21.1-neoforge-4.2.1.1.jar	assets/silentgear/textures/item/blueprint.png	512	512
arms_practice	05	Second Skin	immersive_armors:warrior_helmet	by_chapter/arms_practice/05_second_skin__immersive_armors__warrior_helmet.png	immersive_armors-1.7.6+1.21.1-neoforge.jar	assets/immersive_armors/textures/item/warrior_helmet.png	512	512
arms_practice	06	Relic Hunter	artifacts:crystal_heart	by_chapter/arms_practice/06_relic_hunter__artifacts__crystal_heart.png	artifacts-neoforge-13.2.1.jar	assets/artifacts/textures/item/crystal_heart.png	512	512
arms_practice	07	Shield Wall	minecraft:shield	by_chapter/arms_practice/07_shield_wall__minecraft__shield.png	1.21.1.jar	assets/minecraft/textures/block/dark_oak_planks.png	512	512
arms_practice	08	Petty Familiar	adorablehamsterpets:sunflower_seeds	by_chapter/arms_practice/08_petty_familiar__adorablehamsterpets__sunflower_seeds.png	adorablehamsterpets-3.6.1-1.21.1+neoforge.jar	assets/adorablehamsterpets/textures/item/sunflower_seeds.png	512	512
bards_corner	00	Chapter - &eBard's Corner	exposure:camera	by_chapter/bards_corner/00_chapter_-_bards_corner__exposure__camera.png	exposure-neoforge-1.21.1-1.9.18.jar	assets/exposure/textures/item/camera/camera.png	512	512
bards_corner	01	Lens of Legend	exposure:camera	by_chapter/bards_corner/01_lens_of_legend__exposure__camera.png	exposure-neoforge-1.21.1-1.9.18.jar	assets/exposure/textures/item/camera/camera.png	512	512
bards_corner	02	Film Stock	exposure:color_film	by_chapter/bards_corner/02_film_stock__exposure__color_film.png	exposure-neoforge-1.21.1-1.9.18.jar	assets/exposure/textures/item/color_film.png	512	512
bards_corner	03	First Photograph	exposure:photograph	by_chapter/bards_corner/03_first_photograph__exposure__photograph.png	exposure-neoforge-1.21.1-1.9.18.jar	assets/exposure/textures/item/photograph.png	512	512
bards_corner	04	Lightroom	exposure:lightroom	by_chapter/bards_corner/04_lightroom__exposure__lightroom.png	exposure-neoforge-1.21.1-1.9.18.jar	assets/exposure/textures/block/lightroom_side.png	512	512
bards_corner	05	Album of Ages	exposure:album	by_chapter/bards_corner/05_album_of_ages__exposure__album.png	exposure-neoforge-1.21.1-1.9.18.jar	assets/exposure/textures/item/album.png	512	512
bards_corner	06	Etching Table	etched:etching_table	by_chapter/bards_corner/06_etching_table__etched__etching_table.png	etched-5.1.0.jar	assets/etched/textures/block/etching_table_top.png	512	512
bards_corner	07	Blank Disc	etched:blank_music_disc	by_chapter/bards_corner/07_blank_disc__etched__blank_music_disc.png	etched-5.1.0.jar	assets/etched/textures/item/blank_music_disc.png	512	512
bards_corner	08	Boombox Doctrine	etched:boombox	by_chapter/bards_corner/08_boombox_doctrine__etched__boombox.png	etched-5.1.0.jar	assets/etched/textures/item/boombox_model.png	512	512
bestiary_nightmares	00	Chapter - &eBestiary of Nightmares	mutantmonsters:hulk_hammer	by_chapter/bestiary_nightmares/00_chapter_-_bestiary_of_nightmares__mutantmonsters__hulk_hammer.png	MutantMonsters-v21.1.1-1.21.1-NeoForge.jar	assets/mutantmonsters/textures/item/hulk_hammer.png	512	512
bestiary_nightmares	01	First Nightmare	mutantmonsters:hulk_hammer	by_chapter/bestiary_nightmares/01_first_nightmare__mutantmonsters__hulk_hammer.png	MutantMonsters-v21.1.1-1.21.1-NeoForge.jar	assets/mutantmonsters/textures/item/hulk_hammer.png	512	512
bestiary_nightmares	02	Mutagen Writ	minecraft:splash_potion	by_chapter/bestiary_nightmares/02_mutagen_writ__minecraft__splash_potion.png	1.21.1.jar	assets/minecraft/textures/item/potion_overlay.png	512	512
bestiary_nightmares	03	Mutant Catalog: Creeper	mutantmonsters:creeper_shard	by_chapter/bestiary_nightmares/03_mutant_catalog_creeper__mutantmonsters__creeper_shard.png	MutantMonsters-v21.1.1-1.21.1-NeoForge.jar	assets/mutantmonsters/textures/item/creeper_shard.png	512	512
bestiary_nightmares	04	Mutant Catalog: Skeleton	mutantmonsters:mutant_skeleton_skull	by_chapter/bestiary_nightmares/04_mutant_catalog_skeleton__mutantmonsters__mutant_skeleton_skull.png	1.21.1.jar	assets/minecraft/textures/block/soul_sand.png	512	512
bestiary_nightmares	05	Songs of the Wild	mowziesmobs:naga_fang	by_chapter/bestiary_nightmares/05_songs_of_the_wild__mowziesmobs__naga_fang.png	mowziesmobs-1.21.1-1.8.2.jar	assets/mowziesmobs/textures/item/naga_fang.png	512	512
bestiary_nightmares	06	Wrought Judgment	mowziesmobs:wrought_axe	by_chapter/bestiary_nightmares/06_wrought_judgment__mowziesmobs__wrought_axe.png	mowziesmobs-1.21.1-1.8.2.jar	assets/mowziesmobs/textures/item/wrought_axe_icon.png	512	512
bestiary_nightmares	07	Flame Eye Omen	cataclysm:flame_eye	by_chapter/bestiary_nightmares/07_flame_eye_omen__cataclysm__flame_eye.png	L_Enders_Cataclysm-1.21.1-3.32.jar	assets/cataclysm/textures/item/flame_eye.png	512	512
bestiary_nightmares	08	Ignis Writ	cataclysm:ignitium_ingot	by_chapter/bestiary_nightmares/08_ignis_writ__cataclysm__ignitium_ingot.png	L_Enders_Cataclysm-1.21.1-3.32.jar	assets/cataclysm/textures/item/ignitium_ingot.png	512	512
bestiary_nightmares	09	Ignis Encore	cataclysm:music_disc_ignis	by_chapter/bestiary_nightmares/09_ignis_encore__cataclysm__music_disc_ignis.png	L_Enders_Cataclysm-1.21.1-3.32.jar	assets/cataclysm/textures/item/music_disc_ignis.png	512	512
bestiary_nightmares	10	Illager Accords	illagerinvasion:horn_of_sight	by_chapter/bestiary_nightmares/10_illager_accords__illagerinvasion__horn_of_sight.png	IllagerInvasion-v21.1.6-1.21.1-NeoForge.jar	assets/illagerinvasion/textures/item/horn_of_sight.png	512	512
blaze_burner_fuels	00	Chapter -  &eBB Fuels	create_blaze_burner_fuels:blaze_core	by_chapter/blaze_burner_fuels/00_chapter_-_bb_fuels__create_blaze_burner_fuels__blaze_core.png	create_blaze_burner_fuels-1.0.2-neoforge-1.21.1.jar	assets/create_blaze_burner_fuels/textures/item/blaze_core.png	512	512
blaze_burner_fuels	02	Craft Kindling Sticks	create_blaze_burner_fuels:kindling_sticks	by_chapter/blaze_burner_fuels/02_craft_kindling_sticks__create_blaze_burner_fuels__kindling_sticks.png	create_blaze_burner_fuels-1.0.2-neoforge-1.21.1.jar	assets/create_blaze_burner_fuels/textures/item/kindling_sticks.png	512	512
blaze_burner_fuels	03	Craft Sticks Bundle	create_blaze_burner_fuels:stick_bundle	by_chapter/blaze_burner_fuels/03_craft_sticks_bundle__create_blaze_burner_fuels__stick_bundle.png	create_blaze_burner_fuels-1.0.2-neoforge-1.21.1.jar	assets/create_blaze_burner_fuels/textures/block/kindling_bundle_top.png	512	512
blaze_burner_fuels	04	Obtain Fiery Coal and Fiery Charcoal	create_blaze_burner_fuels:fiery_coal	by_chapter/blaze_burner_fuels/04_obtain_fiery_coal_and_fiery_charcoal__create_blaze_burner_fuels__fiery_coal.png	create_blaze_burner_fuels-1.0.2-neoforge-1.21.1.jar	assets/create_blaze_burner_fuels/textures/item/fiery_coal.png	512	512
blaze_burner_fuels	05	Obtain Coal and Charcoal	minecraft:coal	by_chapter/blaze_burner_fuels/05_obtain_coal_and_charcoal__minecraft__coal.png	1.21.1.jar	assets/minecraft/textures/item/coal.png	512	512
blaze_burner_fuels	06	Activate Spout with lava in it	create:spout	by_chapter/blaze_burner_fuels/06_activate_spout_with_lava_in_it__create__spout.png	create-1.21.1-6.0.10.jar	assets/create/textures/block/copper_underside.png	512	512
blaze_burner_fuels	07	Obtain Materials	minecraft:coal	by_chapter/blaze_burner_fuels/07_obtain_materials__minecraft__coal.png	1.21.1.jar	assets/minecraft/textures/item/coal.png	512	512
blaze_burner_fuels	08	Activate Mechanical Mixer	create:mechanical_mixer	by_chapter/blaze_burner_fuels/08_activate_mechanical_mixer__create__mechanical_mixer.png	create-1.21.1-6.0.10.jar	assets/create/textures/block/mixer_base_side.png	512	512
blaze_burner_fuels	09	Obtain Coal Briquettes and Charcoal Briquettes 	create_blaze_burner_fuels:coal_briquettes	by_chapter/blaze_burner_fuels/09_obtain_coal_briquettes_and_charcoal_briquettes__create_blaze_burner_fuels__coal_briquettes.png	create_blaze_burner_fuels-1.0.2-neoforge-1.21.1.jar	assets/create_blaze_burner_fuels/textures/item/briquettes_2.png	512	512
blaze_burner_fuels	10	Obtain or Craft Magma Block	minecraft:magma_block	by_chapter/blaze_burner_fuels/10_obtain_or_craft_magma_block__minecraft__magma_block.png	1.21.1.jar	assets/minecraft/textures/block/magma.png	512	512
blaze_burner_fuels	11	Activate Crushing Wheel	create:crushing_wheel	by_chapter/blaze_burner_fuels/11_activate_crushing_wheel__create__crushing_wheel.png	create-1.21.1-6.0.10.jar	assets/create/textures/block/palettes/stone_types/cut/andesite_cut.png	512	512
blaze_burner_fuels	12	Obtain Blazing Rocks	create_blaze_burner_fuels:blazing_rocks	by_chapter/blaze_burner_fuels/12_obtain_blazing_rocks__create_blaze_burner_fuels__blazing_rocks.png	create_blaze_burner_fuels-1.0.2-neoforge-1.21.1.jar	assets/create_blaze_burner_fuels/textures/item/briquettes_4.png	512	512
blaze_burner_fuels	13	Obtain Coal	minecraft:coal	by_chapter/blaze_burner_fuels/13_obtain_coal__minecraft__coal.png	1.21.1.jar	assets/minecraft/textures/item/coal.png	512	512
blaze_burner_fuels	14	Obtain Coal Coke	create_blaze_burner_fuels:coal_coke	by_chapter/blaze_burner_fuels/14_obtain_coal_coke__create_blaze_burner_fuels__coal_coke.png	create_blaze_burner_fuels-1.0.2-neoforge-1.21.1.jar	assets/create_blaze_burner_fuels/textures/item/coal_coke.png	512	512
blaze_burner_fuels	15	Obtain Refined Coal Coke	create_blaze_burner_fuels:refined_coal_coke	by_chapter/blaze_burner_fuels/15_obtain_refined_coal_coke__create_blaze_burner_fuels__refined_coal_coke.png	create_blaze_burner_fuels-1.0.2-neoforge-1.21.1.jar	assets/create_blaze_burner_fuels/textures/item/industrial_coal_coke.png	512	512
blaze_burner_fuels	16	Activate Encased fan with Lava	create:encased_fan	by_chapter/blaze_burner_fuels/16_activate_encased_fan_with_lava__create__encased_fan.png	create-1.21.1-6.0.10.jar	assets/create/textures/block/fan_side.png	512	512
blaze_burner_fuels	17	Obtain Materials	minecraft:water_bucket	by_chapter/blaze_burner_fuels/17_obtain_materials__minecraft__water_bucket.png	1.21.1.jar	assets/minecraft/textures/item/water_bucket.png	512	512
blaze_burner_fuels	18	Craft Peats	create_blaze_burner_fuels:peat	by_chapter/blaze_burner_fuels/18_craft_peats__create_blaze_burner_fuels__peat.png	create_blaze_burner_fuels-1.0.2-neoforge-1.21.1.jar	assets/create_blaze_burner_fuels/textures/item/peat.png	512	512
blaze_burner_fuels	19	Obtain Peat Briquettes 	create_blaze_burner_fuels:peat_briquettes	by_chapter/blaze_burner_fuels/19_obtain_peat_briquettes__create_blaze_burner_fuels__peat_briquettes.png	create_blaze_burner_fuels-1.0.2-neoforge-1.21.1.jar	assets/create_blaze_burner_fuels/textures/item/briquettes_1.png	512	512
blaze_burner_fuels	20	Obtain Materials	create:sturdy_sheet	by_chapter/blaze_burner_fuels/20_obtain_materials__create__sturdy_sheet.png	create-1.21.1-6.0.10.jar	assets/create/textures/item/sturdy_sheet.png	512	512
blaze_burner_fuels	21	Activate Mechanical Crafter	create:mechanical_crafter	by_chapter/blaze_burner_fuels/21_activate_mechanical_crafter__create__mechanical_crafter.png	create-1.21.1-6.0.10.jar	assets/create/textures/block/brass_casing.png	512	512
blaze_burner_fuels	22	Obtain InActive Blaze Core	create_blaze_burner_fuels:inactive_blaze_core	by_chapter/blaze_burner_fuels/22_obtain_inactive_blaze_core__create_blaze_burner_fuels__inactive_blaze_core.png	create_blaze_burner_fuels-1.0.2-neoforge-1.21.1.jar	assets/create_blaze_burner_fuels/textures/item/inactive_blaze_core.png	512	512
blaze_burner_fuels	23	Activate Deployer	minecraft:flint_and_steel	by_chapter/blaze_burner_fuels/23_activate_deployer__minecraft__flint_and_steel.png	1.21.1.jar	assets/minecraft/textures/item/flint_and_steel.png	512	512
blaze_burner_fuels	24	Obtain Blaze Core	create_blaze_burner_fuels:blaze_core	by_chapter/blaze_burner_fuels/24_obtain_blaze_core__create_blaze_burner_fuels__blaze_core.png	create_blaze_burner_fuels-1.0.2-neoforge-1.21.1.jar	assets/create_blaze_burner_fuels/textures/item/blaze_core.png	512	512
blaze_burner_fuels	25	Activate Spout With lava on it	create:spout	by_chapter/blaze_burner_fuels/25_activate_spout_with_lava_on_it__create__spout.png	create-1.21.1-6.0.10.jar	assets/create/textures/block/copper_underside.png	512	512
blaze_burner_fuels	26	Obtain SuperHeated Blaze Core	create_blaze_burner_fuels:superheated_blaze_core	by_chapter/blaze_burner_fuels/26_obtain_superheated_blaze_core__create_blaze_burner_fuels__superheated_blaze_core.png	create_blaze_burner_fuels-1.0.2-neoforge-1.21.1.jar	assets/create_blaze_burner_fuels/textures/item/superheated_blaze_core.png	512	512
catalog_of_the_rotten	00	Chapter - &eCatalog of the Rotten	rottencreatures:frozen_rotten_flesh	by_chapter/catalog_of_the_rotten/00_chapter_-_catalog_of_the_rotten__rottencreatures__frozen_rotten_flesh.png	rottencreatures-neoforge-1.21.1-1.1.2.jar	assets/rottencreatures/textures/item/frozen_rotten_flesh.png	512	512
catalog_of_the_rotten	01	Winter's Bite	rottencreatures:frozen_rotten_flesh	by_chapter/catalog_of_the_rotten/01_winters_bite__rottencreatures__frozen_rotten_flesh.png	rottencreatures-neoforge-1.21.1-1.1.2.jar	assets/rottencreatures/textures/item/frozen_rotten_flesh.png	512	512
catalog_of_the_rotten	02	Corrupted Harvest	rottencreatures:corrupted_wart	by_chapter/catalog_of_the_rotten/02_corrupted_harvest__rottencreatures__corrupted_wart.png	rottencreatures-neoforge-1.21.1-1.1.2.jar	assets/rottencreatures/textures/item/corrupted_wart.png	512	512
catalog_of_the_rotten	03	Freeze Writ	minecraft:splash_potion	by_chapter/catalog_of_the_rotten/03_freeze_writ__minecraft__splash_potion.png	1.21.1.jar	assets/minecraft/textures/item/potion_overlay.png	512	512
catalog_of_the_rotten	04	Magma Tithe	rottencreatures:magma_rotten_flesh	by_chapter/catalog_of_the_rotten/04_magma_tithe__rottencreatures__magma_rotten_flesh.png	rottencreatures-neoforge-1.21.1-1.1.2.jar	assets/rottencreatures/textures/item/magma_rotten_flesh.png	512	512
catalog_of_the_rotten	05	Hunter's Spear	rottencreatures:spear	by_chapter/catalog_of_the_rotten/05_hunters_spear__rottencreatures__spear.png	rottencreatures-neoforge-1.21.1-1.1.2.jar	assets/rottencreatures/textures/item/spear.png	512	512
